"Date","Hour","DUSMASS25","OCSMASS","BCSMASS","SSSMASS25","SO4SMASS","pm25_estimate"
"2023-04-20",13,0.393739235660107,13.7495073104787,1.82476034282786,2.93466451140034,4.14377776536412,24.6028462277167
"2023-04-20",14,0.405286026960994,7.00411284526581,0.894527008021839,1.91413063177492,2.23402740751055,13.2911814508997
"2023-04-20",15,0.433619251616335,4.41064074152564,0.553180112827789,1.86730297890847,1.71755354383407,9.62740730809533
"2023-04-20",16,0.421396223471149,3.88934884298919,0.496007401817877,1.58823909579553,1.63783231421633,8.64799137669654
"2023-04-20",17,0.412073708488947,3.69362762597802,0.479209505410694,1.47157031005207,1.62885616106223,8.29713337898202
"2023-04-20",18,0.40157760450299,3.60462815152118,0.473494632391436,1.39812317279109,1.63430391442176,8.12596971206753
"2023-04-20",19,0.389130672129312,3.53705709166263,0.468447780566095,1.33773137012128,1.62366231570843,7.96587449721627
"2023-04-20",20,0.377647274563131,3.59468099730975,0.47746095965806,1.33138389202259,1.6269747771247,8.01923732352498
"2023-04-20",21,0.446705367140865,3.23285664904915,0.451513632038214,1.2371887958551,1.41531042441301,7.31516346013512
"2023-04-20",22,0.419616869029582,3.57502916159547,0.492472174151715,1.30580279922299,1.52253687435433,7.88732057278157
"2023-04-20",23,0.417336831759485,3.91485066586483,0.537257738297825,1.41415945620338,1.6436110250595,8.54455369120279
"2023-04-21",0,0.425356860844772,4.32247304615885,0.609749917224178,1.52287671362217,1.7492362003324,9.28670337849044
"2023-04-21",1,0.432453406418176,4.99537744502732,0.780965125901645,1.64192748286496,1.85090420767864,10.3968246678183
"2023-04-21",2,0.42745590400628,5.81394710152949,0.98936903114577,1.78403425366014,1.95931448843112,11.7100365266657
"2023-04-21",3,0.413915790531405,6.57017418248529,1.15906151343381,1.96238358896039,2.0828911928561,12.9707572513843
"2023-04-21",4,0.397817723207794,7.18106685226871,1.26227017727132,2.17430184967782,2.24365481749089,14.1018249928404
"2023-04-21",5,0.382575277013686,7.72331443243957,1.35052391492252,2.35152053384979,2.43166442537301,15.1529282990624
"2023-04-21",6,0.371051495084984,8.128034245658,1.41949696441657,2.46777553947197,2.68102051670382,16.0743662716692
"2023-04-21",7,0.36408409620492,8.31580582172364,1.41377409779153,2.56119991881576,3.06602987443227,16.8724902889756
"2023-04-21",8,0.360347335304212,8.39682279263343,1.38571953911537,2.63807531375448,3.77879816326754,17.9790743842446
"2023-04-21",9,0.359675539352011,8.32038971054772,1.33575961402954,2.68007971371276,4.9889297137895,19.558669228695
"2023-04-21",10,0.360959401257688,8.18851919603958,1.29274735360951,2.68811861658946,6.35307539909036,21.2696260919164
"2023-04-21",11,0.361970176054882,8.14558021033918,1.26881816164826,2.67109356855144,7.05126579347848,22.147173359049
"2023-04-21",12,0.361493335265806,8.17216694315448,1.26064580996399,2.61708055226961,7.42530747999126,22.6256290975147
"2023-04-21",13,0.35464692293985,7.61548335503903,1.10823605847798,2.34746977412215,5.92194115967004,19.5720499856446
"2023-04-21",14,0.356871754370047,5.92420512646186,0.670523969681369,1.52936918684787,2.32030772373548,11.6727820570822
"2023-04-21",15,0.353587298329572,5.00820895865672,0.532855259915976,1.13001097368226,1.54467794111213,9.14951927945145
"2023-04-21",16,0.347623568819344,4.3871182242583,0.478256600988658,0.970234892427868,1.32803201768894,8.01007224982351
"2023-04-21",17,0.341030204076276,3.88021392794258,0.445229103585021,0.87610851906561,1.21905840977377,7.21951677723357
"2023-04-21",18,0.339878625243983,3.52925622060241,0.42648656828348,0.831665625256051,1.17179055347805,6.73920046575059
"2023-04-21",19,0.331014687882103,3.28791682768781,0.414987350039198,0.788988041566796,1.15155751601037,6.4069877958456
"2023-04-21",20,0.323285898051751,3.14473314055874,0.409750233743011,0.773968888978516,1.15863085792256,6.24554912912181
"2023-04-21",21,0.302007502339663,3.66399133255868,0.447639564304936,1.39293854228839,1.36242850334867,7.68073166179662
"2023-04-21",22,0.305377279019581,3.65967367521591,0.461505167415055,1.23538668184153,1.4271221981943,7.62509007883452
"2023-04-21",23,0.302179781197509,3.94483290477865,0.504436326043134,1.36243938353431,1.60278301741812,8.31867444512294
"2023-04-22",0,0.294165414249647,4.81916773154012,0.63769634017774,1.74367131844377,1.96321670031807,10.1952989178823
"2023-04-22",1,0.275860057019628,6.69564848010396,0.939815225642349,2.5360398225871,2.66066146892285,14.1073657350872
"2023-04-22",2,0.256668658549231,8.51970582971262,1.21853449552844,3.36409322621023,3.3848444047635,18.0151893809921
"2023-04-22",3,0.237332015151637,9.4421874763384,1.37835820535059,3.71806896382054,4.00051547444491,20.2790500834506
"2023-04-22",4,0.225868324044143,9.72893143824649,1.44225653642138,3.76436393167978,4.31965174740867,21.1035270584428
"2023-04-22",5,0.217428408610942,9.79189174188377,1.51196022368794,3.61184593344888,4.31246460763646,21.0653465163873
"2023-04-22",6,0.212454109860261,9.87282788855737,1.57566593106395,3.48983508757783,4.69025485116958,21.6026909499508
"2023-04-22",7,0.21028988272942,9.9096819639044,1.62545166215722,3.35308936172396,4.87229856460658,21.8008398778762
"2023-04-22",8,0.213686415784231,10.125774885239,1.71207548138597,3.30412031068761,4.83955231445066,22.012938405105
