level,population,mean_km,median_km,p90_km,max_km,city_id
fine,5667399,0,0,0,0,bogota_2018
seccion,5667399,0.261342221747291,0.180263099142173,0.446875974802623,4.76792775261712,bogota_2018
sector,5667399,0.669499600113662,0.519132808593473,1.33642122975204,4.76792775261712,bogota_2018
localidad,5667158,5.1702777443977,4.85770330260698,10.0763227860352,29.7361015959778,bogota_2018
municipio,5667399,34.8119987744389,35.3239974367409,50.0429851824832,61.7793051824153,bogota_2018
fine,3930887,0,0,0,0,santiago_2017
distrito,3930887,0.642183660011763,0.477803641281905,1.20164253267661,3.77884424407532,santiago_2017
comuna,3930887,2.11563146439031,1.79561137801639,3.9545152524227,8.2447773324566,santiago_2017
fine,12051075.150297,0,0,0,0,sao_paulo_2010
municipio,12051075.150297,13.6969817113317,8.11615368750492,28.7300340934555,40.9417533429551,sao_paulo_2010
