city_id,level,geometry_units,adult_units,adults,education_adults,missing_parent_units,missing_parent_adults,population_min,population_p10,population_median,population_mean,population_p90,population_max,population_weighted_size,max_population_share,area_p10_km2,area_median_km2,area_p90_km2,area_union_difference_km2,source_year,geometry_valid,representative_points_internal
bogota_2018,fine,57032,50287,5693549,5575652,0,0,1,21,73,113.22109093801,191,19933,481.858228145573,0.00350097979309566,0.000863417273689554,0.00256819682543567,0.0131779638847417,0,2018,TRUE,TRUE
bogota_2018,seccion,3862,3723,5693549,5575652,0,0,1,189,1172,1529.29062583938,2772,39649,3841.76934825712,0.00696384627584658,0.0289284597596068,0.0671044516376708,2.00397241900837,3.29144723471139e-07,2018,TRUE,TRUE
bogota_2018,sector,1260,1146,5693549,5575652,0,0,1,43,2086.5,4968.19284467713,13402.5,67342,16209.8846197688,0.0118277720978602,0.082083952520207,0.516586477336191,6.14493586051861,3.87250306515662e-07,2018,TRUE,TRUE
bogota_2018,localidad,40,40,5667158,5551499,60,26391,1116,10846.1,76654,141678.95,374326.8,729656,359188.262231616,0.128751660003127,7.88126440677555,69.5327078188519,193.866161560181,6.6670462790519e-06,2018,TRUE,TRUE
bogota_2018,municipio,21,21,5693549,5575652,0,0,5486,9202,21937,271121.380952381,87089,4595104,3740795.8803985,0.807072003771286,53.3953736257883,110.767339130816,209.044113257458,6.70409971093022e-06,2018,TRUE,TRUE
santiago_2017,fine,1655,1654,3930887,3930887,0,0,7,1484.2,2375.5,2376.59431680774,3287.7,8028,2614.39240838009,0.00204228714791344,0.138564826649196,0.287040947018521,0.79453016951612,0,2017,TRUE,TRUE
santiago_2017,distrito,347,347,3930887,3930887,0,0,299,4968.8,9883,11328.204610951,18825.6,58272,16157.2945050316,0.0148241351125077,0.726720448554276,1.35937941752488,4.59513540688496,2.24246277102935e-09,2017,TRUE,TRUE
santiago_2017,comuna,38,38,3930887,3930887,0,0,1751,45106.3,76396,103444.394736842,213244.4,341512,164374.17856555,0.0868791191402856,7.11824387793455,14.3767999965639,46.5413525136895,2.49836018539895e-09,2017,TRUE,TRUE
sao_paulo_2010,fine,633,633,12051075.150297,10147769.491894,0,0,4510.6836392539,8825.6401845868,18581.022509129,19038.0334127915,29310.0905491395,92993.0969643685,22325.6675655351,0.00771658095270251,1.34674260666958,3.01680380822815,18.0832113840687,0,2010,TRUE,TRUE
sao_paulo_2010,municipio,39,39,12051075.150297,10147769.491894,0,0,8124.15536261749,15897.9840214585,81243.8653864265,309001.926930693,411616.828643793,7083616.89830385,4288144.25043529,0.587799578872367,27.7277929953197,108.52043047839,412.553053822012,0.938905053014937,2010,TRUE,TRUE
