gap,normalized_pct,q1,q5,population,n_units,n_clusters,effective_clusters,max_cluster_share,populated_groups,n_cells,se,lower,upper,inference_status,design,level,outcome,standardized_gap,city_id
16.5432112658347,165.943746251546,26.5123795168382,9.96916825100341,4255038,37375,37375,10488.6213997462,0.00109658245120255,5,161767,0.691480711984101,15.1878900820096,17.8985324496598,conditional_cluster_HC1,A,fine,hrs_d_pm10_it1,0.207143370908035,bogota_2018
16.5432112658347,165.943746251546,26.5123795168382,9.96916825100341,4255038,37375,37375,10488.6213997462,0.00109658245120255,5,161767,0.691480711984101,15.1878900820096,17.8985324496598,conditional_cluster_HC1,B_native,fine,hrs_d_pm10_it1,0.207143370908035,bogota_2018
16.5432112658347,165.943746251546,26.5123795168382,9.96916825100341,4255038,37375,37375,10488.6213997462,0.00109658245120255,5,161767,,,,descriptive,B_common,fine,hrs_d_pm10_it1,0.207143370908035,bogota_2018
16.5432112658347,165.943746251546,26.5123795168382,9.96916825100341,4255038,37375,37375,10488.6213997462,0.00109658245120255,5,161767,,,,descriptive,baseline_common,fine,hrs_d_pm10_it1,0.207143370908035,bogota_2018
16.5432112658347,165.943746251546,26.5123795168382,9.96916825100341,4255038,37375,37375,10488.6213997462,0.00109658245120255,5,161767,,,,descriptive,A_common,fine,hrs_d_pm10_it1,0.207143370908035,bogota_2018
43.7380987295329,3643.16311538179,44.9386515827627,1.20055285322983,4255038,37375,37375,10488.6213997462,0.00109658245120255,5,37375,,,,descriptive,C,fine,hrs_d_pm10_it1,0.547660128517782,bogota_2018
94.4261144579143,188.934980265156,144.404215032723,49.9781005748085,4255038,37375,37375,10488.6213997462,0.00109658245120255,5,161767,1.78503182103345,90.9274030710027,97.9248258448259,conditional_cluster_HC1,A,fine,hrs_d_pm10_it2,0.490361469635417,bogota_2018
94.4261144579143,188.934980265156,144.404215032723,49.9781005748085,4255038,37375,37375,10488.6213997462,0.00109658245120255,5,161767,1.78503182103345,90.9274030710027,97.9248258448259,conditional_cluster_HC1,B_native,fine,hrs_d_pm10_it2,0.490361469635417,bogota_2018
94.4261144579143,188.934980265156,144.404215032723,49.9781005748085,4255038,37375,37375,10488.6213997462,0.00109658245120255,5,161767,,,,descriptive,B_common,fine,hrs_d_pm10_it2,0.490361469635417,bogota_2018
94.4261144579143,188.934980265156,144.404215032723,49.9781005748085,4255038,37375,37375,10488.6213997462,0.00109658245120255,5,161767,,,,descriptive,baseline_common,fine,hrs_d_pm10_it2,0.490361469635417,bogota_2018
94.4261144579143,188.934980265156,144.404215032723,49.9781005748085,4255038,37375,37375,10488.6213997462,0.00109658245120255,5,161767,,,,descriptive,A_common,fine,hrs_d_pm10_it2,0.490361469635417,bogota_2018
184.699407515423,756.698468659759,209.107994973325,24.4085874579021,4255038,37375,37375,10488.6213997462,0.00109658245120255,5,37375,,,,descriptive,C,fine,hrs_d_pm10_it2,0.959157044955189,bogota_2018
7.26357281014485,26.4722907614749,34.7019719860693,27.4383991759244,4255038,37375,37375,10488.6213997462,0.00109658245120255,5,161767,0.143238086586569,6.98282222706017,7.54432339322954,conditional_cluster_HC1,A,fine,avg_pm10,0.685017710419805,bogota_2018
7.26357281014485,26.4722907614749,34.7019719860693,27.4383991759244,4255038,37375,37375,10488.6213997462,0.00109658245120255,5,161767,0.143238086586569,6.98282222706017,7.54432339322954,conditional_cluster_HC1,B_native,fine,avg_pm10,0.685017710419805,bogota_2018
7.26357281014485,26.4722907614749,34.7019719860693,27.4383991759244,4255038,37375,37375,10488.6213997462,0.00109658245120255,5,161767,,,,descriptive,B_common,fine,avg_pm10,0.685017710419805,bogota_2018
7.26357281014485,26.4722907614749,34.7019719860693,27.4383991759244,4255038,37375,37375,10488.6213997462,0.00109658245120255,5,161767,,,,descriptive,baseline_common,fine,avg_pm10,0.685017710419805,bogota_2018
7.26357281014485,26.4722907614749,34.7019719860693,27.4383991759244,4255038,37375,37375,10488.6213997462,0.00109658245120255,5,161767,,,,descriptive,A_common,fine,avg_pm10,0.685017710419805,bogota_2018
12.110118920928,47.3338722377121,37.69458591765,25.584466996722,4255038,37375,37375,10488.6213997462,0.00109658245120255,5,37375,,,,descriptive,C,fine,avg_pm10,1.14208890761573,bogota_2018
10.7971991709707,295.134509227141,14.455598590017,3.65839941904625,4251366,37285,37285,10471.9541352848,0.00109752959401755,5,161372,0.230060467084987,10.3462743026799,11.2481240392616,conditional_cluster_HC1,A,fine,hrs_d_pm25_it1,0.422832697843371,bogota_2018
10.7971991709707,295.134509227141,14.455598590017,3.65839941904625,4251366,37285,37285,10471.9541352848,0.00109752959401755,5,161372,0.230060467084987,10.3462743026799,11.2481240392616,conditional_cluster_HC1,B_native,fine,hrs_d_pm25_it1,0.422832697843371,bogota_2018
10.7971991709707,295.134509227141,14.455598590017,3.65839941904625,4251366,37285,37285,10471.9541352848,0.00109752959401755,5,161372,,,,descriptive,B_common,fine,hrs_d_pm25_it1,0.422832697843371,bogota_2018
10.7971991709707,295.134509227141,14.455598590017,3.65839941904625,4251366,37285,37285,10471.9541352848,0.00109752959401755,5,161372,,,,descriptive,baseline_common,fine,hrs_d_pm25_it1,0.422832697843371,bogota_2018
10.7971991709707,295.134509227141,14.455598590017,3.65839941904625,4251366,37285,37285,10471.9541352848,0.00109752959401755,5,161372,,,,descriptive,A_common,fine,hrs_d_pm25_it1,0.422832697843371,bogota_2018
24.2799117230536,2871.28548075069,25.1255229270187,0.845611203965189,4251366,37285,37285,10471.9541352848,0.00109752959401755,5,37285,,,,descriptive,C,fine,hrs_d_pm25_it1,0.950833675909179,bogota_2018
89.3318544714033,186.63060900568,137.197451088882,47.8655966174791,4251366,37285,37285,10471.9541352848,0.00109752959401755,5,161372,1.29061029183943,86.8022226609648,91.8614862818418,conditional_cluster_HC1,A,fine,hrs_d_pm25_it2,0.683707370731315,bogota_2018
89.3318544714033,186.63060900568,137.197451088882,47.8655966174791,4251366,37285,37285,10471.9541352848,0.00109752959401755,5,161372,1.29061029183943,86.8022226609648,91.8614862818418,conditional_cluster_HC1,B_native,fine,hrs_d_pm25_it2,0.683707370731315,bogota_2018
89.3318544714033,186.63060900568,137.197451088882,47.8655966174791,4251366,37285,37285,10471.9541352848,0.00109752959401755,5,161372,,,,descriptive,B_common,fine,hrs_d_pm25_it2,0.683707370731315,bogota_2018
89.3318544714033,186.63060900568,137.197451088882,47.8655966174791,4251366,37285,37285,10471.9541352848,0.00109752959401755,5,161372,,,,descriptive,baseline_common,fine,hrs_d_pm25_it2,0.683707370731315,bogota_2018
89.3318544714033,186.63060900568,137.197451088882,47.8655966174791,4251366,37285,37285,10471.9541352848,0.00109752959401755,5,161372,,,,descriptive,A_common,fine,hrs_d_pm25_it2,0.683707370731315,bogota_2018
150.558601933373,473.773393594936,182.337212545284,31.7786106119113,4251366,37285,37285,10471.9541352848,0.00109752959401755,5,37285,,,,descriptive,C,fine,hrs_d_pm25_it2,1.15231041018858,bogota_2018
2.95573469232712,21.8832415944058,16.4625758957927,13.5068412034656,4251366,37285,37285,10471.9541352848,0.00109752959401755,5,161372,0.0590051540907417,2.84008296096286,3.07138642369138,conditional_cluster_HC1,A,fine,avg_pm25,0.690360024291373,bogota_2018
2.95573469232712,21.8832415944058,16.4625758957927,13.5068412034656,4251366,37285,37285,10471.9541352848,0.00109752959401755,5,161372,0.0590051540907417,2.84008296096286,3.07138642369138,conditional_cluster_HC1,B_native,fine,avg_pm25,0.690360024291373,bogota_2018
2.95573469232712,21.8832415944058,16.4625758957927,13.5068412034656,4251366,37285,37285,10471.9541352848,0.00109752959401755,5,161372,,,,descriptive,B_common,fine,avg_pm25,0.690360024291373,bogota_2018
