individual_quintile,area_quintile,population,level,outcome,city_id
1,5,58766,fine,hrs_d_pm25_it1,bogota_2018
5,5,572009,fine,hrs_d_pm25_it1,bogota_2018
3,5,113026,fine,hrs_d_pm25_it1,bogota_2018
1,1,248938,fine,hrs_d_pm25_it2,bogota_2018
2,1,242223,fine,hrs_d_pm25_it2,bogota_2018
1,2,209345,fine,hrs_d_pm25_it2,bogota_2018
2,2,227451,fine,hrs_d_pm25_it2,bogota_2018
3,2,167974,fine,hrs_d_pm25_it2,bogota_2018
4,2,138929,fine,hrs_d_pm25_it2,bogota_2018
5,2,40781,fine,hrs_d_pm25_it2,bogota_2018
1,4,117922,fine,hrs_d_pm25_it2,bogota_2018
2,4,158595,fine,hrs_d_pm25_it2,bogota_2018
3,4,182559,fine,hrs_d_pm25_it2,bogota_2018
4,4,314920,fine,hrs_d_pm25_it2,bogota_2018
5,4,188699,fine,hrs_d_pm25_it2,bogota_2018
4,1,75432,fine,hrs_d_pm25_it2,bogota_2018
5,1,13794,fine,hrs_d_pm25_it2,bogota_2018
1,3,169294,fine,hrs_d_pm25_it2,bogota_2018
2,3,208537,fine,hrs_d_pm25_it2,bogota_2018
4,3,210939,fine,hrs_d_pm25_it2,bogota_2018
5,3,83928,fine,hrs_d_pm25_it2,bogota_2018
3,3,192341,fine,hrs_d_pm25_it2,bogota_2018
2,5,35605,fine,hrs_d_pm25_it2,bogota_2018
4,5,174899,fine,hrs_d_pm25_it2,bogota_2018
3,1,104460,fine,hrs_d_pm25_it2,bogota_2018
1,5,58766,fine,hrs_d_pm25_it2,bogota_2018
5,5,572009,fine,hrs_d_pm25_it2,bogota_2018
3,5,113026,fine,hrs_d_pm25_it2,bogota_2018
1,1,248938,fine,avg_pm25,bogota_2018
2,1,242223,fine,avg_pm25,bogota_2018
1,2,209345,fine,avg_pm25,bogota_2018
2,2,227451,fine,avg_pm25,bogota_2018
3,2,167974,fine,avg_pm25,bogota_2018
4,2,138929,fine,avg_pm25,bogota_2018
5,2,40781,fine,avg_pm25,bogota_2018
1,4,117922,fine,avg_pm25,bogota_2018
2,4,158595,fine,avg_pm25,bogota_2018
3,4,182559,fine,avg_pm25,bogota_2018
4,4,314920,fine,avg_pm25,bogota_2018
5,4,188699,fine,avg_pm25,bogota_2018
4,1,75432,fine,avg_pm25,bogota_2018
5,1,13794,fine,avg_pm25,bogota_2018
1,3,169294,fine,avg_pm25,bogota_2018
2,3,208537,fine,avg_pm25,bogota_2018
4,3,210939,fine,avg_pm25,bogota_2018
5,3,83928,fine,avg_pm25,bogota_2018
3,3,192341,fine,avg_pm25,bogota_2018
2,5,35605,fine,avg_pm25,bogota_2018
4,5,174899,fine,avg_pm25,bogota_2018
3,1,104460,fine,avg_pm25,bogota_2018
1,5,58766,fine,avg_pm25,bogota_2018
5,5,572009,fine,avg_pm25,bogota_2018
3,5,113026,fine,avg_pm25,bogota_2018
1,4,136079,seccion,hrs_d_pm10_it1,bogota_2018
2,4,160813,seccion,hrs_d_pm10_it1,bogota_2018
3,4,186793,seccion,hrs_d_pm10_it1,bogota_2018
4,4,298351,seccion,hrs_d_pm10_it1,bogota_2018
5,4,193646,seccion,hrs_d_pm10_it1,bogota_2018
1,2,191122,seccion,hrs_d_pm10_it1,bogota_2018
2,2,211654,seccion,hrs_d_pm10_it1,bogota_2018
4,2,136387,seccion,hrs_d_pm10_it1,bogota_2018
