edu_quintile,population,mean,share,design,level,outcome,city_id
4,962695,104.633606697864,0.226248273223412,C,fine,hrs_d_pm10_it2,bogota_2018
5,954322,24.4085874579021,0.224280488211856,C,fine,hrs_d_pm10_it2,bogota_2018
1,805403,34.7019719860693,0.189282210875673,A,fine,avg_pm10,bogota_2018
2,873186,34.2835940239885,0.205212268374572,A,fine,avg_pm10,bogota_2018
3,761562,34.6067673853782,0.178978895135602,A,fine,avg_pm10,bogota_2018
4,915457,33.2237031067031,0.215146609736505,A,fine,avg_pm10,bogota_2018
5,899430,27.4383991759244,0.211380015877649,A,fine,avg_pm10,bogota_2018
1,805403,34.7019719860693,0.189282210875673,B_native,fine,avg_pm10,bogota_2018
2,873186,34.2835940239885,0.205212268374572,B_native,fine,avg_pm10,bogota_2018
3,761562,34.6067673853782,0.178978895135602,B_native,fine,avg_pm10,bogota_2018
4,915457,33.2237031067031,0.215146609736505,B_native,fine,avg_pm10,bogota_2018
5,899430,27.4383991759244,0.211380015877649,B_native,fine,avg_pm10,bogota_2018
1,805403,34.7019719860693,0.189282210875673,B_common,fine,avg_pm10,bogota_2018
2,873186,34.2835940239885,0.205212268374572,B_common,fine,avg_pm10,bogota_2018
3,761562,34.6067673853782,0.178978895135602,B_common,fine,avg_pm10,bogota_2018
4,915457,33.2237031067031,0.215146609736505,B_common,fine,avg_pm10,bogota_2018
5,899430,27.4383991759244,0.211380015877649,B_common,fine,avg_pm10,bogota_2018
1,805403,34.7019719860693,0.189282210875673,baseline_common,fine,avg_pm10,bogota_2018
2,873186,34.2835940239885,0.205212268374572,baseline_common,fine,avg_pm10,bogota_2018
3,761562,34.6067673853782,0.178978895135602,baseline_common,fine,avg_pm10,bogota_2018
4,915457,33.2237031067031,0.215146609736505,baseline_common,fine,avg_pm10,bogota_2018
5,899430,27.4383991759244,0.211380015877649,baseline_common,fine,avg_pm10,bogota_2018
1,805403,34.7019719860693,0.189282210875673,A_common,fine,avg_pm10,bogota_2018
2,873186,34.2835940239885,0.205212268374572,A_common,fine,avg_pm10,bogota_2018
3,761562,34.6067673853782,0.178978895135602,A_common,fine,avg_pm10,bogota_2018
4,915457,33.2237031067031,0.215146609736505,A_common,fine,avg_pm10,bogota_2018
5,899430,27.4383991759244,0.211380015877649,A_common,fine,avg_pm10,bogota_2018
1,687532,37.69458591765,0.161580695636561,C,fine,avg_pm10,bogota_2018
2,785229,35.1128677087076,0.184541007624374,C,fine,avg_pm10,bogota_2018
3,865260,34.0749930935434,0.203349535303798,C,fine,avg_pm10,bogota_2018
4,962695,33.1845416499355,0.226248273223412,C,fine,avg_pm10,bogota_2018
5,954322,25.584466996722,0.224280488211856,C,fine,avg_pm10,bogota_2018
1,804265,14.455598590017,0.189178019488324,A,fine,hrs_d_pm25_it1,bogota_2018
2,872411,12.9225972620703,0.205207220455731,A,fine,hrs_d_pm25_it1,bogota_2018
3,760360,13.2195828291862,0.178850750558762,A,fine,hrs_d_pm25_it1,bogota_2018
4,915119,8.26000225107336,0.215252932822062,A,fine,hrs_d_pm25_it1,bogota_2018
5,899211,3.65839941904625,0.21151107667512,A,fine,hrs_d_pm25_it1,bogota_2018
1,804265,14.455598590017,0.189178019488324,B_native,fine,hrs_d_pm25_it1,bogota_2018
2,872411,12.9225972620703,0.205207220455731,B_native,fine,hrs_d_pm25_it1,bogota_2018
3,760360,13.2195828291862,0.178850750558762,B_native,fine,hrs_d_pm25_it1,bogota_2018
4,915119,8.26000225107336,0.215252932822062,B_native,fine,hrs_d_pm25_it1,bogota_2018
5,899211,3.65839941904625,0.21151107667512,B_native,fine,hrs_d_pm25_it1,bogota_2018
1,804265,14.455598590017,0.189178019488324,B_common,fine,hrs_d_pm25_it1,bogota_2018
2,872411,12.9225972620703,0.205207220455731,B_common,fine,hrs_d_pm25_it1,bogota_2018
3,760360,13.2195828291862,0.178850750558762,B_common,fine,hrs_d_pm25_it1,bogota_2018
4,915119,8.26000225107336,0.215252932822062,B_common,fine,hrs_d_pm25_it1,bogota_2018
5,899211,3.65839941904625,0.21151107667512,B_common,fine,hrs_d_pm25_it1,bogota_2018
1,804265,14.455598590017,0.189178019488324,baseline_common,fine,hrs_d_pm25_it1,bogota_2018
2,872411,12.9225972620703,0.205207220455731,baseline_common,fine,hrs_d_pm25_it1,bogota_2018
3,760360,13.2195828291862,0.178850750558762,baseline_common,fine,hrs_d_pm25_it1,bogota_2018
4,915119,8.26000225107336,0.215252932822062,baseline_common,fine,hrs_d_pm25_it1,bogota_2018
5,899211,3.65839941904625,0.21151107667512,baseline_common,fine,hrs_d_pm25_it1,bogota_2018
1,804265,14.455598590017,0.189178019488324,A_common,fine,hrs_d_pm25_it1,bogota_2018
2,872411,12.9225972620703,0.205207220455731,A_common,fine,hrs_d_pm25_it1,bogota_2018
3,760360,13.2195828291862,0.178850750558762,A_common,fine,hrs_d_pm25_it1,bogota_2018
4,915119,8.26000225107336,0.215252932822062,A_common,fine,hrs_d_pm25_it1,bogota_2018
5,899211,3.65839941904625,0.21151107667512,A_common,fine,hrs_d_pm25_it1,bogota_2018
1,684847,25.1255229270187,0.16108869478657,C,fine,hrs_d_pm25_it1,bogota_2018
2,784480,13.112809759331,0.184524221156212,C,fine,hrs_d_pm25_it1,bogota_2018
3,865039,11.0728510506463,0.203473189558368,C,fine,hrs_d_pm25_it1,bogota_2018
4,962695,6.15028955172718,0.226443688922572,C,fine,hrs_d_pm25_it1,bogota_2018
5,954305,0.845611203965189,0.224470205576278,C,fine,hrs_d_pm25_it1,bogota_2018
1,804265,137.197451088882,0.189178019488324,A,fine,hrs_d_pm25_it2,bogota_2018
2,872411,132.657390839868,0.205207220455731,A,fine,hrs_d_pm25_it2,bogota_2018
3,760360,125.237503287916,0.178850750558762,A,fine,hrs_d_pm25_it2,bogota_2018
4,915119,115.410865690692,0.215252932822062,A,fine,hrs_d_pm25_it2,bogota_2018
5,899211,47.8655966174791,0.21151107667512,A,fine,hrs_d_pm25_it2,bogota_2018
1,804265,137.197451088882,0.189178019488324,B_native,fine,hrs_d_pm25_it2,bogota_2018
2,872411,132.657390839868,0.205207220455731,B_native,fine,hrs_d_pm25_it2,bogota_2018
3,760360,125.237503287916,0.178850750558762,B_native,fine,hrs_d_pm25_it2,bogota_2018
4,915119,115.410865690692,0.215252932822062,B_native,fine,hrs_d_pm25_it2,bogota_2018
5,899211,47.8655966174791,0.21151107667512,B_native,fine,hrs_d_pm25_it2,bogota_2018
1,804265,137.197451088882,0.189178019488324,B_common,fine,hrs_d_pm25_it2,bogota_2018
2,872411,132.657390839868,0.205207220455731,B_common,fine,hrs_d_pm25_it2,bogota_2018
3,760360,125.237503287916,0.178850750558762,B_common,fine,hrs_d_pm25_it2,bogota_2018
4,915119,115.410865690692,0.215252932822062,B_common,fine,hrs_d_pm25_it2,bogota_2018
5,899211,47.8655966174791,0.21151107667512,B_common,fine,hrs_d_pm25_it2,bogota_2018
1,804265,137.197451088882,0.189178019488324,baseline_common,fine,hrs_d_pm25_it2,bogota_2018
2,872411,132.657390839868,0.205207220455731,baseline_common,fine,hrs_d_pm25_it2,bogota_2018
3,760360,125.237503287916,0.178850750558762,baseline_common,fine,hrs_d_pm25_it2,bogota_2018
4,915119,115.410865690692,0.215252932822062,baseline_common,fine,hrs_d_pm25_it2,bogota_2018
5,899211,47.8655966174791,0.21151107667512,baseline_common,fine,hrs_d_pm25_it2,bogota_2018
1,804265,137.197451088882,0.189178019488324,A_common,fine,hrs_d_pm25_it2,bogota_2018
2,872411,132.657390839868,0.205207220455731,A_common,fine,hrs_d_pm25_it2,bogota_2018
3,760360,125.237503287916,0.178850750558762,A_common,fine,hrs_d_pm25_it2,bogota_2018
4,915119,115.410865690692,0.215252932822062,A_common,fine,hrs_d_pm25_it2,bogota_2018
5,899211,47.8655966174791,0.21151107667512,A_common,fine,hrs_d_pm25_it2,bogota_2018
1,684847,182.337212545284,0.16108869478657,C,fine,hrs_d_pm25_it2,bogota_2018
2,784480,138.581589078115,0.184524221156212,C,fine,hrs_d_pm25_it2,bogota_2018
3,865039,123.36848280829,0.203473189558368,C,fine,hrs_d_pm25_it2,bogota_2018
4,962695,103.172651774446,0.226443688922572,C,fine,hrs_d_pm25_it2,bogota_2018
5,954305,31.7786106119113,0.224470205576278,C,fine,hrs_d_pm25_it2,bogota_2018
1,804265,16.4625758957927,0.189178019488324,A,fine,avg_pm25,bogota_2018
2,872411,16.2337191590387,0.205207220455731,A,fine,avg_pm25,bogota_2018
3,760360,16.3681999528298,0.178850750558762,A,fine,avg_pm25,bogota_2018
4,915119,16.2663276899081,0.215252932822062,A,fine,avg_pm25,bogota_2018
5,899211,13.5068412034656,0.21151107667512,A,fine,avg_pm25,bogota_2018
1,804265,16.4625758957927,0.189178019488324,B_native,fine,avg_pm25,bogota_2018
2,872411,16.2337191590387,0.205207220455731,B_native,fine,avg_pm25,bogota_2018
3,760360,16.3681999528298,0.178850750558762,B_native,fine,avg_pm25,bogota_2018
4,915119,16.2663276899081,0.215252932822062,B_native,fine,avg_pm25,bogota_2018
5,899211,13.5068412034656,0.21151107667512,B_native,fine,avg_pm25,bogota_2018
1,804265,16.4625758957927,0.189178019488324,B_common,fine,avg_pm25,bogota_2018
2,872411,16.2337191590387,0.205207220455731,B_common,fine,avg_pm25,bogota_2018
3,760360,16.3681999528298,0.178850750558762,B_common,fine,avg_pm25,bogota_2018
4,915119,16.2663276899081,0.215252932822062,B_common,fine,avg_pm25,bogota_2018
5,899211,13.5068412034656,0.21151107667512,B_common,fine,avg_pm25,bogota_2018
1,804265,16.4625758957927,0.189178019488324,baseline_common,fine,avg_pm25,bogota_2018
2,872411,16.2337191590387,0.205207220455731,baseline_common,fine,avg_pm25,bogota_2018
3,760360,16.3681999528298,0.178850750558762,baseline_common,fine,avg_pm25,bogota_2018
4,915119,16.2663276899081,0.215252932822062,baseline_common,fine,avg_pm25,bogota_2018
5,899211,13.5068412034656,0.21151107667512,baseline_common,fine,avg_pm25,bogota_2018
1,804265,16.4625758957927,0.189178019488324,A_common,fine,avg_pm25,bogota_2018
2,872411,16.2337191590387,0.205207220455731,A_common,fine,avg_pm25,bogota_2018
3,760360,16.3681999528298,0.178850750558762,A_common,fine,avg_pm25,bogota_2018
4,915119,16.2663276899081,0.215252932822062,A_common,fine,avg_pm25,bogota_2018
5,899211,13.5068412034656,0.21151107667512,A_common,fine,avg_pm25,bogota_2018
1,684847,17.0154855863369,0.16108869478657,C,fine,avg_pm25,bogota_2018
2,784480,16.6916560483252,0.184524221156212,C,fine,avg_pm25,bogota_2018
3,865039,16.4074718590012,0.203473189558368,C,fine,avg_pm25,bogota_2018
4,962695,16.1350284849584,0.226443688922572,C,fine,avg_pm25,bogota_2018
5,954305,13.0001520561965,0.224470205576278,C,fine,avg_pm25,bogota_2018
1,805403,26.4996976289917,0.189282210875673,A,seccion,hrs_d_pm10_it1,bogota_2018
2,873186,22.8232685016905,0.205212268374572,A,seccion,hrs_d_pm10_it1,bogota_2018
3,761562,35.4023742417162,0.178978895135602,A,seccion,hrs_d_pm10_it1,bogota_2018
4,915457,15.3384958491719,0.215146609736505,A,seccion,hrs_d_pm10_it1,bogota_2018
5,899430,9.97939857490072,0.211380015877649,A,seccion,hrs_d_pm10_it1,bogota_2018
1,803538,26.4270078079693,0.189771975015995,B_native,seccion,hrs_d_pm10_it1,bogota_2018
2,870786,22.1160480301704,0.205653969116928,B_native,seccion,hrs_d_pm10_it1,bogota_2018
3,753725,34.869291850476,0.178007613664731,B_native,seccion,hrs_d_pm10_it1,bogota_2018
4,911827,14.9508305851878,0.21534664280085,B_native,seccion,hrs_d_pm10_it1,bogota_2018
5,894353,9.75124699084142,0.211219799401497,B_native,seccion,hrs_d_pm10_it1,bogota_2018
1,786938,26.1749667699361,0.18941931545639,B_common,seccion,hrs_d_pm10_it1,bogota_2018
2,858862,22.0150466547594,0.206731727418813,B_common,seccion,hrs_d_pm10_it1,bogota_2018
3,734090,34.8520780830688,0.176698577630488,B_common,seccion,hrs_d_pm10_it1,bogota_2018
4,895817,14.7502815865294,0.21562695271317,B_common,seccion,hrs_d_pm10_it1,bogota_2018
5,878769,9.83056867049247,0.211523426781139,B_common,seccion,hrs_d_pm10_it1,bogota_2018
1,786938,26.4661104178474,0.18941931545639,baseline_common,seccion,hrs_d_pm10_it1,bogota_2018
2,858862,22.4026455938207,0.206731727418813,baseline_common,seccion,hrs_d_pm10_it1,bogota_2018
3,734090,34.9726436812925,0.176698577630488,baseline_common,seccion,hrs_d_pm10_it1,bogota_2018
4,895817,15.0703257473346,0.21562695271317,baseline_common,seccion,hrs_d_pm10_it1,bogota_2018
5,878769,9.87270829990589,0.211523426781139,baseline_common,seccion,hrs_d_pm10_it1,bogota_2018
1,786938,26.4531098290114,0.18941931545639,A_common,seccion,hrs_d_pm10_it1,bogota_2018
2,858862,22.3871312276301,0.206731727418813,A_common,seccion,hrs_d_pm10_it1,bogota_2018
3,734090,34.9708018875941,0.176698577630488,A_common,seccion,hrs_d_pm10_it1,bogota_2018
4,895817,15.0830961329108,0.21562695271317,A_common,seccion,hrs_d_pm10_it1,bogota_2018
5,878769,9.88292187892603,0.211523426781139,A_common,seccion,hrs_d_pm10_it1,bogota_2018
1,678011,44.6884711309994,0.159343112799463,C,seccion,hrs_d_pm10_it1,bogota_2018
2,729887,29.1919077884659,0.171534778302802,C,seccion,hrs_d_pm10_it1,bogota_2018
3,902643,34.1127776983813,0.212135120767429,C,seccion,hrs_d_pm10_it1,bogota_2018
4,975682,8.06070625470184,0.229300419878741,C,seccion,hrs_d_pm10_it1,bogota_2018
5,968815,1.0243524305466,0.227686568251564,C,seccion,hrs_d_pm10_it1,bogota_2018
1,805403,144.323546845405,0.189282210875673,A,seccion,hrs_d_pm10_it2,bogota_2018
2,873186,147.554035502445,0.205212268374572,A,seccion,hrs_d_pm10_it2,bogota_2018
3,761562,134.63982714245,0.178978895135602,A,seccion,hrs_d_pm10_it2,bogota_2018
4,915457,113.018412474534,0.215146609736505,A,seccion,hrs_d_pm10_it2,bogota_2018
5,899430,50.0375085723421,0.211380015877649,A,seccion,hrs_d_pm10_it2,bogota_2018
1,803538,144.105332915183,0.189771975015995,B_native,seccion,hrs_d_pm10_it2,bogota_2018
2,870786,146.258902876252,0.205653969116928,B_native,seccion,hrs_d_pm10_it2,bogota_2018
3,753725,133.390049421208,0.178007613664731,B_native,seccion,hrs_d_pm10_it2,bogota_2018
4,911827,111.92065819503,0.21534664280085,B_native,seccion,hrs_d_pm10_it2,bogota_2018
5,894353,49.7523941888717,0.211219799401497,B_native,seccion,hrs_d_pm10_it2,bogota_2018
1,786938,144.219599256866,0.18941931545639,B_common,seccion,hrs_d_pm10_it2,bogota_2018
2,858862,146.509421769737,0.206731727418813,B_common,seccion,hrs_d_pm10_it2,bogota_2018
3,734090,133.698577831056,0.176698577630488,B_common,seccion,hrs_d_pm10_it2,bogota_2018
4,895817,111.939832577413,0.21562695271317,B_common,seccion,hrs_d_pm10_it2,bogota_2018
5,878769,50.2090003174896,0.211523426781139,B_common,seccion,hrs_d_pm10_it2,bogota_2018
1,786938,145.22895831692,0.18941931545639,baseline_common,seccion,hrs_d_pm10_it2,bogota_2018
2,858862,147.657317473587,0.206731727418813,baseline_common,seccion,hrs_d_pm10_it2,bogota_2018
3,734090,134.334604748737,0.176698577630488,baseline_common,seccion,hrs_d_pm10_it2,bogota_2018
4,895817,113.349898472568,0.21562695271317,baseline_common,seccion,hrs_d_pm10_it2,bogota_2018
5,878769,50.1597894327178,0.211523426781139,baseline_common,seccion,hrs_d_pm10_it2,bogota_2018
1,786938,145.146581677341,0.18941931545639,A_common,seccion,hrs_d_pm10_it2,bogota_2018
2,858862,147.622993712694,0.206731727418813,A_common,seccion,hrs_d_pm10_it2,bogota_2018
3,734090,134.289454821027,0.176698577630488,A_common,seccion,hrs_d_pm10_it2,bogota_2018
4,895817,113.406359712173,0.21562695271317,A_common,seccion,hrs_d_pm10_it2,bogota_2018
5,878769,50.2185090100949,0.211523426781139,A_common,seccion,hrs_d_pm10_it2,bogota_2018
1,678011,216.142289726863,0.159343112799463,C,seccion,hrs_d_pm10_it2,bogota_2018
2,729887,141.599768183294,0.171534778302802,C,seccion,hrs_d_pm10_it2,bogota_2018
3,902643,146.917721624164,0.212135120767429,C,seccion,hrs_d_pm10_it2,bogota_2018
4,975682,91.8468527655527,0.229300419878741,C,seccion,hrs_d_pm10_it2,bogota_2018
5,968815,24.7553629949991,0.227686568251564,C,seccion,hrs_d_pm10_it2,bogota_2018
1,805403,34.7020721631569,0.189282210875673,A,seccion,avg_pm10,bogota_2018
2,873186,34.2831037381972,0.205212268374572,A,seccion,avg_pm10,bogota_2018
3,761562,34.6070422023126,0.178978895135602,A,seccion,avg_pm10,bogota_2018
4,915457,33.22414095782,0.215146609736505,A,seccion,avg_pm10,bogota_2018
5,899430,27.436994271635,0.211380015877649,A,seccion,avg_pm10,bogota_2018
