level,outcome,baseline_variance,retained_variance,within_variance,share_retained,aggregation_population,city_id
fine,hrs_d_pm10_it1,6378.19148124241,6378.19148124241,0,1,4344885,bogota_2018
fine,hrs_d_pm10_it2,37081.0106638309,37081.0106638309,0,1,4344885,bogota_2018
fine,avg_pm10,112.43382581951,112.43382581951,2.11377542573483e-30,1,4344885,bogota_2018
fine,hrs_d_pm25_it1,652.056302704858,652.056302704858,0,1,4341174,bogota_2018
fine,hrs_d_pm25_it2,17071.5193951222,17071.5193951222,0,1,4341174,bogota_2018
fine,avg_pm25,18.330724379516,18.330724379516,4.28811488936077e-31,1,4341174,bogota_2018
seccion,hrs_d_pm10_it1,6378.19148124241,6350.11564363876,28.0758376036639,0.995598150716199,4344885,bogota_2018
seccion,hrs_d_pm10_it2,37081.0106638309,36689.3432667423,391.667397088747,0.989437520982386,4344885,bogota_2018
seccion,avg_pm10,112.43382581951,111.410384652112,1.02344116739688,0.990897390888036,4344885,bogota_2018
seccion,hrs_d_pm25_it1,652.056302704858,638.711708179003,13.3445945258554,0.979534597747926,4341174,bogota_2018
seccion,hrs_d_pm25_it2,17071.5193951222,16846.1349380605,225.384457061797,0.98679763342412,4341174,bogota_2018
seccion,avg_pm25,18.330724379516,18.1676472108524,0.163077168663662,0.991103615695304,4341174,bogota_2018
sector,hrs_d_pm10_it1,6378.19148124241,6191.81452471499,186.376956527435,0.970779027710984,4344885,bogota_2018
sector,hrs_d_pm10_it2,37081.0106638309,35981.0721876582,1099.93847617285,0.970336879807712,4344885,bogota_2018
sector,avg_pm10,112.43382581951,109.299579918278,3.13424590123095,0.972123639141626,4344885,bogota_2018
sector,hrs_d_pm25_it1,652.056302704858,607.614293470542,44.442009234323,0.931843294743166,4341174,bogota_2018
sector,hrs_d_pm25_it2,17071.5193951222,16341.6976022411,729.821792881019,0.957249160078301,4341174,bogota_2018
sector,avg_pm25,18.330724379516,17.7983754550686,0.532348924447353,0.970958653164721,4341174,bogota_2018
localidad,hrs_d_pm10_it1,6378.19148124241,5509.13437997817,869.057101264245,0.863745529775949,4344885,bogota_2018
localidad,hrs_d_pm10_it2,37081.0106638309,32045.2672151004,5035.74344873032,0.864196165137363,4344885,bogota_2018
localidad,avg_pm10,112.43382581951,91.8670799431212,20.5667458763882,0.817076882988892,4344885,bogota_2018
localidad,hrs_d_pm25_it1,652.056302704858,379.05726025067,272.999042454193,0.581325966298103,4341174,bogota_2018
localidad,hrs_d_pm25_it2,17071.5193951222,12802.1811759044,4269.33821921753,0.7499145728975,4341174,bogota_2018
localidad,avg_pm25,18.330724379516,14.3708736250624,3.95985075445397,0.783977399230405,4341174,bogota_2018
