"Date","Hour","DUSMASS25","OCSMASS","BCSMASS","SSSMASS25","SO4SMASS","pm25_estimate"
"2023-01-01",0,1.52477579217283,1.68039233913795,0.40834563716372,0.95265582262269,4.19840445080918,10.3414888096057
"2023-01-01",1,1.45726200008987,1.88181965032918,0.528412211325802,0.938576484517699,3.97398689915571,10.2726810984428
"2023-01-01",2,1.41008381598744,2.10770971671975,0.633788556982399,0.889840275154264,3.65410275757379,10.0680009447502
"2023-01-01",3,1.37745811800002,2.35297039008963,0.714638403155284,0.830064914765787,3.54808746093468,10.1558759139548
"2023-01-01",4,1.35867779003994,2.62254178616528,0.782681227676761,0.77958334304348,3.62889040420988,10.5353806492396
"2023-01-01",5,1.33618919023108,2.88393357529256,0.839485886377665,0.745907779647697,3.60429475853999,10.7635791985017
"2023-01-01",6,1.3103882257439,3.10752937341926,0.889085551803392,0.720914292428069,3.5763981452437,10.9476056685924
"2023-01-01",7,1.29161101308968,3.28101852045855,0.927339982608648,0.699682612012814,3.64549334821865,11.2143876167561
"2023-01-01",8,1.28298558800847,3.38539722660345,0.940149166023664,0.677591008916266,3.57148946430585,11.1990588402012
"2023-01-01",9,1.27215150779348,3.43821568839307,0.924318879574025,0.653935687629952,3.69611035788003,11.3729859388045
"2023-01-01",10,1.24093409800566,3.50081455160632,0.863409208603887,0.664192205900548,3.75763568286232,11.4383483894696
"2023-01-01",11,1.20290931082928,3.51210780206654,0.516898438446625,0.942882989363896,2.98843396399516,10.2856840706077
"2023-01-01",12,1.08237193268193,3.24706817206658,0.373515924793736,1.03021413965052,2.47758686163684,9.14133514833801
"2023-01-01",13,1.00938958135909,2.84188177878579,0.331665646241043,0.953826604789651,2.36120670647657,8.38483621365125
"2023-01-01",14,0.980051405441028,2.59356730379244,0.316081296309082,0.917997243813588,2.38732620727166,8.09169980014603
"2023-01-01",15,0.903324019657149,2.27870525855607,0.295852506935253,0.881407132582957,2.3298566324912,7.5642364028177
"2023-01-01",16,0.85535647865293,2.14759642743465,0.293857386730547,0.843431490895143,2.35958354745836,7.38608157094154
"2023-01-01",17,0.825733237929988,2.02074177296828,0.283521007672915,0.802882624411651,2.29633372039739,7.09171205765399
"2023-01-01",18,0.987658218271482,2.05331129724852,0.277571322151912,0.768482845636903,2.11929775578755,7.00232667570697
"2023-01-01",19,0.976107197484368,1.96224277565537,0.26692679482555,0.717400688361085,1.9884165483586,6.6579404450845
"2023-01-01",20,1.00268757253813,1.89275660699177,0.256991091520395,0.682345191302034,1.83802805340714,6.36316925037252
"2023-01-01",21,1.41830444602893,2.31782969624091,0.275202578316257,0.784470367856086,1.65020857932239,7.06583167382279
"2023-01-01",22,1.37471260183751,2.20963985620598,0.270977226053492,0.728663117108394,1.54981584236566,6.71591727976251
"2023-01-01",23,1.35382493025383,2.24435695226591,0.306389294587906,0.749174322811587,1.46946309704772,6.67513685577896
"2023-01-02",0,1.32103324338036,2.44969426465907,0.413867503141422,0.804213895876245,1.38852416352731,6.89886078055802
"2023-01-02",1,1.28267565746045,2.67315215438362,0.53240047534985,0.850757333166279,1.34987083022628,7.19586602329691
"2023-01-02",2,1.25727234520775,2.91025243010293,0.649105166982572,0.863255627896707,1.3743426025589,7.57042930850073
"2023-01-02",3,1.23703264867875,3.14333004828964,0.753342692765805,0.857320005419782,1.42302525386645,7.9485369196794
"2023-01-02",4,1.21244816713351,3.36824585231562,0.843054668962654,0.843811547219554,1.48093482287936,8.30473208130361
"2023-01-02",5,1.1839480750631,3.49629952458219,0.899073817389111,0.821496841878861,1.53782186626799,8.5162438409313
"2023-01-02",6,1.15711244968,3.55326592818171,0.926662092843927,0.788882400756027,1.57035895615235,8.5861064282592
"2023-01-02",7,1.12843932680332,3.60507637972704,0.954270995610993,0.738128373947342,1.57509293794073,8.59261069153204
"2023-01-02",8,1.08707731703882,3.67487571590556,0.993660640368713,0.677786795730219,1.55445783312337,8.57171046351471
"2023-01-02",9,1.03184339535439,3.73313799664765,1.03681889495385,0.612526835012234,1.51659966982315,8.50055948060263
"2023-01-02",10,0.96200908893953,3.72953760214255,1.0502536236794,0.546894919060709,1.52540495396169,8.38704012885131
"2023-01-02",11,0.911848918149893,2.48885517826602,0.620012710057349,0.560884767674037,1.50698624453295,6.65460971856312
"2023-01-02",12,0.73005799481132,1.56701577847538,0.350361796764783,0.509225520318936,1.23846867713961,4.86029684924225
"2023-01-02",13,0.649972709870414,1.36957097320533,0.29825735536055,0.504766606042718,1.21688240552393,4.49650935867776
"2023-01-02",14,0.645541260562972,1.36372826871128,0.287628946623941,0.55065027488926,1.30966687009724,4.64912464309069
"2023-01-02",15,0.76767684975543,1.51856910477356,0.283151466086862,0.725402812498015,1.3200788216716,5.11069879126175
"2023-01-02",16,0.698836038611427,1.61582248883047,0.292132323140174,0.73786301462537,1.3899034136621,5.25660303324106
"2023-01-02",17,0.626402410430977,1.67136576684234,0.292139080941821,0.798038842379279,1.3955486021346,5.30766078189846
"2023-01-02",18,0.562171880315982,1.66345248136406,0.251264800683356,1.2410181012988,1.20129127354146,5.37040183877951
"2023-01-02",19,0.509701411645065,1.7076823121266,0.253056539156575,1.15933832161902,1.17977300442774,5.25267265913691
"2023-01-02",20,0.468542327454317,1.66526600012739,0.245636919452111,1.18919260161008,1.13039524248448,5.12360794381253
"2023-01-02",21,0.438629730640746,1.61401436841817,0.239436468177053,1.23765065886551,1.07195044801603,5.00430474474439
"2023-01-02",22,0.417307631972366,1.59620494063041,0.243408774910139,1.30302983140029,1.02571680455613,4.97092576306943
