Area,Day,Hour,temp_2m,temp_850hPa,inversion,Inversion_dummy
Santiago,2023-01-05,2,288.70154,291.6292,2.9276733,1
Santiago,2023-01-05,3,287.97028,291.5075,3.5372314,1
Santiago,2023-01-05,4,287.5744,291.1059,3.5314941,1
Santiago,2023-01-05,5,287.27545,290.71765,3.4421997,1
Santiago,2023-01-05,6,286.88776,290.29926,3.411499,1
Santiago,2023-01-05,7,286.0349,289.9747,3.9397888,1
Santiago,2023-01-05,8,284.92902,289.8345,4.905487,1
Santiago,2023-01-05,9,284.78912,289.63644,4.8473206,1
Santiago,2023-01-05,10,285.0727,289.4995,4.426819,1
Santiago,2023-01-05,11,286.0008,289.7655,3.7647095,1
Santiago,2023-01-05,12,287.1996,289.89886,2.6992798,1
Santiago,2023-01-05,13,288.30994,290.00165,1.6917114,1
Santiago,2023-01-05,14,289.66187,290.15137,0.48950195,1
Santiago,2023-01-05,15,291.07703,289.9955,-1.0815125,0
Santiago,2023-01-05,16,291.44,290.18732,-1.2526855,0
Santiago,2023-01-05,17,293.05054,290.64627,-2.4042664,0
Santiago,2023-01-05,18,294.20062,290.53354,-3.6670837,0
Santiago,2023-01-05,19,293.53625,290.5764,-2.9598694,0
Santiago,2023-01-05,20,293.63,290.81155,-2.818451,0
Santiago,2023-01-05,21,293.53137,290.63196,-2.899414,0
Santiago,2023-01-05,22,292.90704,290.1389,-2.768158,0
Santiago,2023-01-05,23,291.46765,289.88568,-1.5819702,0
Santiago,2023-01-06,0,289.41095,289.81375,0.4028015,1
Santiago,2023-01-06,1,288.8581,289.78912,0.9310303,1
Santiago,2023-01-06,2,288.07904,290.00604,1.927002,1
Santiago,2023-01-06,3,287.21826,290.0459,2.8276367,1
Santiago,2023-01-06,4,286.47742,289.8004,3.322998,1
Santiago,2023-01-06,5,285.8073,289.63043,3.82312,1
Santiago,2023-01-06,6,285.33447,289.7066,4.3721313,1
Santiago,2023-01-06,7,284.64832,289.75378,5.1054688,1
Santiago,2023-01-06,8,284.21857,289.64716,5.428589,1
Santiago,2023-01-06,9,283.97876,289.6908,5.712036,1
Santiago,2023-01-06,10,284.378,289.41632,5.03833,1
Santiago,2023-01-06,11,286.2563,289.48535,3.229065,1
Santiago,2023-01-06,12,288.34485,289.64032,1.2954712,1
Santiago,2023-01-06,13,289.69647,290.42535,0.72888184,1
Santiago,2023-01-06,14,290.62238,290.71808,0.095703125,1
Santiago,2023-01-06,15,291.09576,290.56174,-0.5340271,0
Santiago,2023-01-06,16,292.2318,289.5475,-2.6843262,0
Santiago,2023-01-06,17,292.77063,290.2768,-2.4938354,0
Santiago,2023-01-06,18,293.4286,290.7823,-2.6463013,0
Santiago,2023-01-06,19,293.42297,290.94812,-2.4748535,0
Santiago,2023-01-06,20,294.06946,290.69754,-3.3719177,0
Santiago,2023-01-06,21,293.906,290.5515,-3.3544922,0
Santiago,2023-01-06,22,293.31934,290.7392,-2.5801392,0
Santiago,2023-01-06,23,292.1493,290.62744,-1.5218506,0
Santiago,2023-01-07,0,290.44446,290.25864,-0.18582153,0
Santiago,2023-01-07,1,289.71527,290.1753,0.46002197,1
Santiago,2023-01-07,2,289.11096,290.4953,1.3843384,1
Santiago,2023-01-07,3,287.64703,290.64365,2.9966125,1
